problem_id,condition,group,num_tokens,tc_raw,tc_pca,tc_sae,s_raw,s_pca,s_sae
290,cot,G4,37,24,25,9,1105.3193359375,1251.088623046875,17269.142578125
110,cot,G4,25,11,11,11,266.91650390625,307.8291015625,6753.998046875
153,cot,G4,26,8,8,8,457.427978515625,493.6494140625,26991.3359375
119,cot,G4,28,18,18,14,565.39453125,674.128662109375,15270.193359375
148,cot,G4,30,9,9,8,786.78955078125,921.298583984375,14686.060546875
158,cot,G4,24,12,12,17,312.44970703125,351.686279296875,9614.14453125
9,cot,G4,32,9,9,21,821.1923828125,1022.43408203125,17136.30859375
209,cot,G4,38,10,11,9,1051.3828125,1183.155029296875,16283.671875
55,cot,G4,26,17,17,17,633.763671875,693.389404296875,22119.455078125
332,cot,G4,35,9,9,23,1050.755859375,1219.10400390625,27790.650390625
120,cot,G4,30,20,20,20,497.015380859375,611.108154296875,23404.091796875
146,cot,G4,25,11,11,11,226.53466796875,288.7646484375,7643.13671875
90,cot,G4,20,10,10,9,604.99951171875,624.62109375,13112.7421875
109,cot,G4,30,9,9,9,658.18212890625,825.52978515625,26478.55078125
178,cot,G4,37,24,24,22,1017.71728515625,1119.709716796875,16937.59375
140,cot,G4,31,9,9,10,1152.095458984375,1347.878662109375,12800.158203125
355,cot,G4,43,31,31,18,829.001708984375,959.384765625,26962.0703125
183,cot,G4,43,18,18,16,677.319580078125,820.705810546875,10921.07421875
39,cot,G4,23,14,14,14,394.714599609375,406.216064453125,15756.56640625
105,cot,G4,28,9,9,8,525.0634765625,602.615966796875,14496.529296875
274,cot,G4,47,33,33,33,538.4423828125,615.593505859375,14062.177734375
78,cot,G4,24,11,11,11,348.5693359375,401.48681640625,10434.1484375
5,cot,G4,30,20,20,8,463.36865234375,594.505615234375,10511.9296875
216,cot,G4,35,9,9,24,1382.79443359375,1527.392822265625,18071.3359375
387,cot,G4,46,34,34,34,1498.71484375,1748.064453125,41217.984375
111,cot,G4,23,14,14,14,499.680908203125,516.782470703125,8948.51171875
76,cot,G4,30,9,9,20,762.00244140625,900.465087890625,8303.83203125
